OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed
22,7543,0TE5,small_airport,Santa Maria Ranch Airport,27.4337997436523,-99.1858978271484,516,NA,US,US-TX,Laredo,no,0TE5,,0TE5,,,,HOUSTON CNTR,126.625,5992,77,ASPH,0,0
23,7545,0TE7,small_airport,LBJ Ranch Airport,30.251801,-98.622498,1515,NA,US,US-TX,Stonewall,no,0TE7,JCY,0TE7,,,,UNICOM,122.8,6291,60,ASPH,0,0
24,7569,0TX1,small_airport,Pecan Plantation Airport,32.353325,-97.676225,710,NA,US,US-TX,Granbury,no,0TX1,,0TX1,,,,UNICOM,123.05,3500,50,ASPH,1,0
25,7712,11II,small_airport,Atterbury Field (Camp Atterbury),39.3417015076,-86.0305023193,710,NA,US,US-IN,Nineveh,no,11II,,11II,,,,INDIANAPOLIS CNTR,134.85,4220,72,ASPH,0,0
26,7781,12NC,small_airport,Atlantic Field Marine Corps Outlying Field,34.892099,-76.349029,20,NA,US,US-NC,Atlantic,no,12NC,,12NC,,,,CHERRY POINT APP,119.75,3575,150,ASPH,0,0
28,7838,13NC,small_airport,Oak Grove Marine Corps Outlying Field,35.025006,-77.255945,27,NA,US,US-NC,Pollocksville,no,13NC,,13NC,,https://en.wikipedia.org/wiki/Marine_Corps_Outlying_Field_Oak_Grove,,CHERRY POINT APP,119.35,4000,150,ASPH,0,0
29,7898,14NC,small_airport,Camp Davis Marine Corps Outlying Field,34.516458,-77.545109,60,NA,US,US-NC,Holly Ridge,no,14NC,,14NC,,,"Camp Davis MCOLF, DZ Pheasant, LZ Duck",CHERRY POINT APP,119.35,5000,150,CONC,0,0
30,7917,14TS,small_airport,O S Wyatt Airport,27.4216995239258,-98.6044998168945,532,NA,US,US-TX,Realitos,no,14TS,,14TS,,,,HOUSTON CNTR,126.625,6044,70,ASPH,0,0
33,8028,16X,small_airport,Propwash Airport,33.0806999206543,-97.3589019775391,800,NA,US,US-TX,Justin,no,16X,,16X,,,Formerly 16XS,FORT WORTH CNTR,127.45,3000,60,ASPH-F,1,0
34,8082,18AZ,small_airport,Sky Ranch At Carefree Airport,33.818536,-111.898327,2568,NA,US,US-AZ,Carefree,no,18AZ,,18AZ,,,"carefree, skyranch",UNICOM,122.975,4037,50,ASPH,1,0
35,8117,18TA,small_airport,West Kerr Ranch Airport,30.1362991333008,-99.7436981201172,2330,NA,US,US-TX,Junction,no,18TA,,18TA,,,,HOUSTON CNTR,126.625,4500,48,ASPH,0,0
36,8118,18TE,small_airport,Alert Field,32.5852012634277,-95.0639038085938,390,NA,US,US-TX,Big Sandy,no,18TE,,18TE,,,,UNICOM,122.8,5093,40,ASPH-G,1,0
37,8205,1AZ0,small_airport,Bishop Airfield,33.1119,-112.268997,1261,NA,US,US-AZ,Mobile,no,1AZ0,,1AZ0,,,Mobile Airport,UNICOM,122.725,4500,75,ASPH,1,0
38,8222,1CA1,small_airport,Belridge Strip,35.467905,-119.72203,575,NA,US,US-CA,McKittrick,no,,,,,,1CA1,CTAF,122.9,5600,85,ASPH-TRTD,1,0
39,8233,1CD2,small_airport,Tonga Airport,40.167377,-104.798575,4925,NA,US,US-CO,Platteville,no,1CD2,,1CD2,,,Reck,DENVER APP,119.3,3000,24,ASPH,0,0
40,8297,1GA0,small_airport,Eagle Neck Airport,31.6394004821777,-81.3290023803711,10,NA,US,US-GA,Shellman Bluff,no,1GA0,,1GA0,,,,UNICOM,122.725,3744,41,ASPH,1,0
41,8402,1L4,small_airport,Kidwell Airport,35.305547,-114.88236,2605,NA,US,US-NV,Cal Nev Ari,no,K1L4,,1L4,,https://en.wikipedia.org/wiki/Kidwell_Airport,,Kidwell traffic,122.9,4140,65,DIRT-F,1,0
42,8486,1MS8,small_airport,Columbus Air Force Base Auxiliary Field (Gunshy),32.940102,-88.579201,260,NA,US,US-MS,Shuqualak,no,1MS8,,1MS8,,,,MERIDIAN APP,31.48,6300,150,ASPH-CONC,0,0
43,8732,1WA6,small_airport,Fall City Airport,47.5595016479492,-121.863998413086,140,NA,US,US-WA,Fall City,no,1WA6,,1WA6,,https://en.wikipedia.org/wiki/Fall_City_Airport,,Fall City Traffic,122.9,3000,25,ASPH-TURF,0,0
44,8769,1XS8,small_airport,Pinon Ranch Airport,29.63383,-100.375729,1640,NA,US,US-TX,Brackettville,no,1XS8,,1XS8,,,,HOUSTON CNTR,126.625,4500,50,ASPH,0,0
45,8787,20GA,small_airport,Earl L. Small Jr. Field/Stockmar Airport,33.7565002441,-84.8846969604,1110,NA,US,US-GA,Villa Rica,no,20GA,,20GA,,,,MULT,122.9,4500,50,ASPH,1,0
46,8924,22XS,small_airport,Longhorn Auxiliary Landing Strip,31.373693,-97.666654,720,NA,US,US-TX,Fort Hood,no,22XS,,22XS,,,,TWR,143.35,3488,75,ASPH,0,0
48,8990,24CL,small_airport,Boswell Airport,36.088444,-119.541392,205,NA,US,US-CA,Corcoran,no,24CL,,24CL,,,Salyer Farms,CTAF,122.9,7000,80,ASPH,0,0
49,9068,25NC,small_airport,Smith Air Strip,35.632717,-79.711768,560,NA,US,US-NC,Asheboro,no,25NC,,25NC,,,,MULTICOM,122.9,3100,60,TURF-G,1,0
50,9078,25TA,small_airport,Ferris Airport,29.8365993499756,-94.967399597168,35,NA,US,US-TX,Baytown,no,25TA,,25TA,,,,HOUSTON CNTR,126.625,3600,75,CONC,0,0
51,9080,25TS,small_airport,Miller Airfield,36.094331,-102.417469,3961,NA,US,US-TX,Dalhart,no,25TS,,25TS,,,,ALBUQUERQUE CNTR,132.65,6500,75,CONC-P,0,0
52,9138,27AZ,small_airport,Eagle Roost Airpark,33.919276,-113.167795,2206,NA,US,US-AZ,Aguila,no,27AZ,,27AZ,,,"aguila, eagle roost, valley of the eagles",CTAF,122.9,3906,40,ASPH,1,0
54,9223,28TA,small_airport,Duval County Ranch Co Airport,27.83359909,-98.71700287,665,NA,US,US-TX,Freer,no,28TA,,28TA,,,,HOUSTON CNTR,126.625,10280,34,ASPH,0,0
55,9236,29AZ,small_airport,Paloma Ranch Airport,32.905602,-112.900002,737,NA,US,US-AZ,Paloma,no,29AZ,,29AZ,,,"Davis Field, Gila River Ranch",UNICOM,122.8,5500,60,ASPH,1,0
56,9277,29TX,small_airport,Lockett Airport,34.094807,-99.365108,1282,NA,US,US-TX,Vernon,no,29TX,,29TX,,,,FORT WORTH CNTR,127.45,3000,30,ASPH,0,0
57,9354,2CL9,small_airport,Mustang Airport,38.334400177002,-121.304000854492,45,NA,US,US-CA,Galt,no,2CL9,,2CL9,,,,CTAF,122.9,4000,40,ASPH,0,0
58,14060,2CN4,small_airport,Wonderful Pistachios & Almonds Airport,35.664623,-119.893518,617,NA,US,US-CA,Lost Hills,no,2CN4,,2CN4,,,"7CA0, Paramount Farms",CTAF,122.9,5002,60,ASPH,1,0
59,9368,2D7,small_airport,Beach City Airport,40.646598815918,-81.5560989379883,984,NA,US,US-OH,Beach City,no,2D7,,2D7,,,,CLEVELAND APP/DEP,125.5,3175,115,TURF-G,1,0
60,20770,2IG4,small_airport,Ed-Air Airport,38.851782,-87.49987,426,NA,US,US-IN,Oaktown,no,KI20,OTN,I20,http://www.edairinc.com/index.html,https://en.wikipedia.org/wiki/Ed-Air_Airport,"2IG4, KOTN, OTN, Emison, Green, Vincennes Executive Inn",UNICOM,122.8,5800,100,ASPH,1,0
62,9696,2OR1,small_airport,Big Muddy Ranch Airport,44.828499,-120.495003,1641,NA,US,US-OR,Fossil,no,2OR1,,2OR1,,https://en.wikipedia.org/wiki/Big_Muddy_Ranch_Airport,Rajneeshpuram,UNICOM,122.8,4185,70,ASPH-G,1,0
63,9772,2TA6,small_airport,Pyramid Ranch Airport,31.862699508667,-96.1975021362305,362,NA,US,US-TX,Fairfield,no,2TA6,,2TA6,,,,FORT WORTH CNTR,127.45,4700,72,CONC-G,0,0
64,9774,2TA8,small_airport,El Coyote Ranch Airport,26.85840034,-98.22200012,196,NA,US,US-TX,Encino,no,2TA8,,2TA8,,,,HOUSTON CNTR,126.625,5500,75,ASPH,1,0
66,9809,2TX3,small_airport,La Fonda Ranch Airport,29.2168998718262,-100.616996765137,1020,NA,US,US-TX,Brackettville,no,2TX3,,2TX3,,,,HOUSTON CNTR,126.625,5280,50,ASPH,1,0
67,9810,2TX4,small_airport,Lewis Ranch Airport,27.9836006164551,-99.3767013549805,540,NA,US,US-TX,Encinal,no,2TX4,,2TX4,,,,HOUSTON CNTR,126.625,4800,60,ASPH,1,0
68,9835,2VG2,small_airport,Upperville Airport,38.9718017578125,-77.8696975708008,551,NA,US,US-VA,Upperville,no,2VG2,,2VG2,,,,UNICOM,122.725,5100,100,ASP,1,0
69,9880,2XA0,small_airport,Foard County Airport,33.9793014526,-99.7128982544,1479,NA,US,US-TX,Crowell,no,2XA0,,2XA0,,,8F4,FORT WORTH CNTR,127.45,3200,39,ASPH-P,1,0
70,9891,2XS3,small_airport,Glad Oaks Airport,32.019836,-95.695035,487,NA,US,US-TX,Palestine,no,2XS3,,2XS3,,,,FORT WORTH CNTR,127.45,4250,75,ASPH-P,0,0
71,9893,2XS5,small_airport,Cross Triangle Ranch Airport,30.0104999542,-98.4253005981,1420,NA,US,US-TX,Twin Sisters,no,2XS5,,2XS5,,,,HOUSTON CNTR,126.625,3000,50,ASPH,0,0
72,9985,31VA,small_airport,Aberdeen Field,37.0237998962402,-76.5886001586914,33,NA,US,US-VA,Smithfield,no,31VA,,31VA,,,,UNICOM,122.75,5921,60,ASPH,1,0
74,10175,36CA,small_airport,Stone Land County Airport,36.1319007873535,-119.986000061035,265,NA,US,US-CA,Stratford,no,36CA,,36CA,,,,CTAF,122.9,3300,30,ASPH,0,0
76,10214,36WI,small_airport,Holland Air Park,44.0321998596191,-91.2995986938477,730,NA,US,US-WI,Holmen,no,36WI,,36WI,,,,CTAF,122.9,3200,60,ASPH,1,0
79,10312,38XS,small_airport,San Rafael Ranch Airport,26.8152008056641,-98.4793014526367,312,NA,US,US-TX,Santa Elena,no,38XS,,38XS,,,,UNICOM,122.8,6000,75,ASPH,1,0
80,18674,3B3,small_airport,Sterling Airport,42.4258995056152,-71.7929000854492,459,NA,US,US-MA,Sterling,no,3B3,,3B3,,,,CTAF,122.9,3086,40,ASPH-G,1,0
83,10788,3TA0,small_airport,Four Square Ranch Airport,30.0969009399414,-100.404998779297,2250,NA,US,US-TX,Rocksprings,no,3TA0,,3TA0,,,,HOUSTON CNTR,126.625,4000,30,ASPH,1,0
84,10793,3TA5,small_airport,Blanco Landing Airport,30.122467,-98.374783,1460,NA,US,US-TX,Blanco,no,3TA5,,3TA5,,,,HOUSTON CNTR,126.625,3450,30,ASPH,0,0
85,10794,3TA6,small_airport,Spring Ranch Airport,29.5419006347656,-100.252998352051,1440,NA,US,US-TX,Brackettville,no,3TA6,,3TA6,,,,HOUSTON CNTR,126.625,4280,36,ASPH,0,0
86,10820,3TS1,small_airport,White Wings Airport,30.0114002227783,-98.0404968261719,1083,NA,US,US-TX,Wimberley,no,3TS1,,3TS1,,,,HOUSTON CNTR,126.625,3000,50,ASPH-F,0,0
87,10899,3XS8,small_airport,Ken Ada Ranch Airport,30.137034,-95.917643,250,NA,US,US-TX,Waller,no,3XS8,,3XS8,,,,HOUSTON CNTR,126.625,4200,100,ASPH,1,0
91,506791,00AN,small_airport,Katmai Lodge Airport,59.093287,-156.456699,80,NA,US,US-AK,King Salmon,no,00AN,,00AN,,,,,,4517,60,GVL,0,0
96,6531,00FA,small_airport,Grass Patch Airport,28.6455001831055,-82.2190017700195,53,NA,US,US-FL,Bushnell,no,00FA,,00FA,,,,,,3200,100,TURF,0,0
98,6533,00FL,small_airport,River Oak Airport,27.230899810791,-80.9692001342773,35,NA,US,US-FL,Okeechobee,no,00FL,,00FL,,,,,,4090,100,TURF,0,0
102,6537,00ID,small_airport,Delta Shores Airport,48.1453018188477,-116.213996887207,2064,NA,US,US-ID,Clark Fork,no,00ID,,00ID,,,,,,3300,40,TURF,0,0
137,6570,00W,small_airport,Lower Granite State Airport,46.672884,-117.441933,719,NA,US,US-WA,Colfax,no,,,00W,http://www.wsdot.wa.gov/aviation/AllStateAirports/Colfax_LowerGraniteState.htm,,0WA0,,,3400,50,GRAVEL-F,0,0
150,6583,01CL,small_airport,Swansboro Country Airport,38.7999000549316,-120.734001159668,2594,NA,US,US-CA,Placerville,no,01CL,,01CL,,,,,,3100,50,ASPH-TRTD,1,0
163,6597,01J,small_airport,Hilliard Airpark,30.68630027771,-81.9057006835938,59,NA,US,US-FL,Hilliard,no,01J,,01J,,,,,,3365,125,TURF-P,1,0
176,6610,01MT,small_airport,Crystal Lakes Resort Airport,48.7891006469727,-114.879997253418,3141,NA,US,US-MT,Fortine,no,01MT,,01MT,,,,,,5000,70,ASPH-G,0,0
178,6611,01NC,small_airport,Topsail Airpark,34.4752998352051,-77.5813980102539,65,NA,US,US-NC,Holly Ridge,no,01NC,,01NC,,,,,,3200,75,TURF,1,0
200,6630,01UT,small_airport,La Sal Junction Airport,38.3083000183105,-109.396003723145,6000,NA,US,US-UT,La Sal,no,01UT,,01UT,,,,,,3200,40,DIRT-P,0,0
206,6635,01WY,small_airport,Keyhole Airport,44.348312,-104.8106,4250,NA,US,US-WY,Pine Haven,no,01WY,,01WY,,,,,,4360,75,DIRT-TURF-G,0,0
215,6643,02CL,small_airport,Conover Air Lodge Airport,34.761101,-119.058998,5160,NA,US,US-CA,Frazier Park,no,02CL,,02CL,,,04L,,,3000,60,DIRT,0,0
219,341544,02FD,small_airport,Triple R Ranch Airport,30.950976,-86.635555,209,NA,US,US-FL,Baker,no,02FD,,02FD,,,,,,3443,150,Turf,0,0
222,6649,02GE,small_airport,Etowah Fields Airport,34.1753005981445,-84.9244003295898,710,NA,US,US-GA,Euharlee,no,02GE,,02GE,,,,,,3400,100,TURF,0,0
254,6682,02SC,small_airport,Harpers Airport,32.760211,-81.225872,111,NA,US,US-SC,Estill,no,02SC,,02SC,,,,,,3600,150,TURF-G,0,0
255,6683,02T,small_airport,Wise River Airport,45.769100189209,-112.982002258301,5830,NA,US,US-MT,Wise River,no,02T,,02T,,,,,,4050,60,DIRT-G,0,0
260,6689,02UT,small_airport,Lucin Airport,41.369336,-113.841019,4412,NA,US,US-UT,Lucin,no,02UT,,02UT,,,,,,4000,30,DIRT,0,0
261,6690,02VA,small_airport,The Greenhouse Airport,38.4356994628906,-77.8572006225586,320,NA,US,US-VA,Culpeper,no,02VA,,02VA,,,,,,3000,80,TURF,0,0
270,6699,03AZ,small_airport,Thompson International Aviation Airport,31.430971,-110.088087,4275,NA,US,US-AZ,Hereford,no,03AZ,,03AZ,,,,,,3600,60,DIRT,1,0
272,6701,03CO,small_airport,Kugel-Strong Airport,40.211608,-104.744781,4950,NA,US,US-CO,Platteville,no,03CO,,03CO,,,,,,4000,30,ASPH-G,0,0
301,6731,03NV,small_airport,Llama Ranch Airport,40.584400177002,-115.297996520996,6120,NA,US,US-NV,Ruby Valley,no,03NV,,03NV,,,,,,3200,30,TURF-P,0,0
314,6743,03TE,small_airport,Barronena Ranch Airport,27.490812,-98.669615,600,NA,US,US-TX,Hebbronville,no,03TE,,03TE,,,,,,3500,100,TURF,0,0
317,341551,03TT,small_airport,Brazos Polo Airport,29.632117,-95.932481,117,NA,US,US-TX,Orchard,no,03TT,,03TT,,,,,,3000,50,Turf,0,0
319,6747,03UT,small_airport,AZ Minerals Corporation Airport,37.114384,-109.99014,5315,NA,US,US-UT,Mexican Hat,no,03UT,,03UT,,,U23,,,5000,35,GRAVEL,0,0
324,6752,03XS,small_airport,Creekside Airport,31.3180999755859,-100.753997802734,2100,NA,US,US-TX,Mertzon,no,03XS,,03XS,,,,,,3200,50,TURF-DIRT,0,0
332,6761,04FL,small_airport,Cross Creek Farms Airport,29.240353,-81.222525,30,NA,US,US-FL,Ormond Beach,no,04FL,,04FL,,,,,,3000,100,TURF,0,0
335,6764,04ID,small_airport,Lanham Field,43.877015,-116.538365,2343,NA,US,US-ID,Emmett,no,04ID,,04ID,,,U85,,,3000,25,DIRT-F,0,0
354,6783,04NJ,small_airport,Emmanuel Airport,39.5968017578,-75.2334976196,155,NA,US,US-NJ,Elmer,no,04NJ,,04NJ,,,,,,3500,50,TURF,1,0
356,6785,04NY,small_airport,Klaverack Airport,42.262298584,-73.6961975098,250,NA,US,US-NY,Hudson,no,04NY,,04NY,,,,,,5200,50,TURF,0,0
366,6794,04TN,small_airport,Hensley Airpark,36.1833000183,-82.6789016724,1430,NA,US,US-TN,Chuckey,no,04TN,,04TN,,,,,,3000,50,ASPH,0,0
368,342438,04TT,small_airport,4D Ranch Airport,29.713072,-99.545642,1550,NA,US,US-TX,Utopia,no,04TT,,04TT,,,,,,4645,55,ASP,0,0
370,6797,04UT,small_airport,Navajo Mountain Airport,37.006689,-110.794701,6160,NA,US,US-UT,Navajo Mountain,no,04UT,,04UT,,,Naatsisʼáán,,,3700,50,DIRT,0,0
371,6798,04V,small_airport,Saguache Municipal Airport,38.0990833,-106.1743889,7826,NA,US,US-CO,Saguache,no,04V,,04V,,,,,,7745,55,GRVL-G,0,0
373,6800,04VG,small_airport,Manquin Flight Park Ultralightport,37.706546,-77.201621,50,NA,US,US-VA,Manquin,no,04VG,,04VG,,,,,,3500,80,TURF-F,0,0
378,45903,04WN,small_airport,Stillwater Creek Airport,46.95835,-119.63864,1510,NA,US,US-WA,Royal City,no,04WN,,04WN,,,,,,4100,60,ASPH,0,0
392,6817,05FL,small_airport,Charlton Strip,26.52018,-81.41031,36,NA,US,US-FL,La Belle,no,05FL,,05FL,,,,,,3200,60,TURF,0,0
397,6822,05IL,small_airport,Classic Landings Airport,41.1567001342773,-88.0167007446289,635,NA,US,US-IL,Bonfield,no,05IL,,05IL,,,,,,3200,70,TURF,0,0
412,6837,05NE,small_airport,Mc Kay Airport,41.7221984863,-98.3089981079,2010,NA,US,US-NE,Spalding,no,05NE,,05NE,,,,,,3210,80,TURF,0,0
428,6854,05V,small_airport,Blanca Airport,37.4110984802246,-105.552001953125,7720,NA,US,US-CO,Blanca,no,05V,,05V,,,,,,6160,52,DIRT-G,0,0
435,6860,05Y,small_airport,Henning Municipal Airport,46.3037986755371,-95.4394989013672,1455,NA,US,US-MN,Henning,no,05Y,,05Y,,,,,,3280,200,TURF-G,1,0
443,6867,06CO,small_airport,Jecan Airport,37.385754,-103.691482,5100,NA,US,US-CO,Branson,no,06CO,,06CO,,,,,,4500,75,TURF,0,0
444,6869,06FD,small_airport,Grass Roots Airpark,28.6417007446289,-81.8850021362305,105,NA,US,US-FL,Mascotte,no,06FD,,06FD,,,,,,3400,120,TURF,0,0
477,6906,06TE,small_airport,Ainsworth Airport,30.3127002716064,-95.0269012451172,129,NA,US,US-TX,Cleveland,no,06TE,,06TE,,,,,,3500,50,ASPH,0,0
479,340868,06TT,small_airport,6 Mile Airpark,30.860024,-100.201996,2165,NA,US,US-TX,Fort McKavett,no,06TT,,06TT,,,,,,3129,75,Turf,0,0
487,6916,07AR,small_airport,Morrilton Airport,35.194339,-92.802473,300,NA,US,US-AR,Morrilton,no,07AR,,07AR,,,,,,3000,60,TURF,0,0
488,6918,07B,small_airport,Blue Hill Airport,44.4480018615723,-68.5697021484375,360,NA,US,US-ME,Blue Hill,no,07B,,07B,,,,,,3186,100,TURF-F,0,0
491,6921,07CO,small_airport,Comanche Creek Airport,39.263599395752,-104.427001953125,6620,NA,US,US-CO,Kiowa,no,07CO,,07CO,,,,,,3100,75,TURF,0,0
501,6932,07K,small_airport,Central City Municipal - Larry Reineke Field,41.1125984192,-98.0516967773,1717,NA,US,US-NE,Central City,no,07K,,07K,,,,,,3700,60,CONC-E,1,0
545,6972,08FA,small_airport,Duda Airstrip,26.5797996520996,-81.4837036132813,35,NA,US,US-FL,La Belle,no,08FA,,08FA,,,,,,3390,75,TURF,0,0
546,6973,08FD,small_airport,Sunniland Ranch Airport,27.3631000518799,-80.7727966308594,65,NA,US,US-FL,Okeechobee,no,08FD,,08FD,,,,,,4138,104,TURF,0,0
549,6976,08GA,small_airport,Sapelo Island Airport,31.4258003234863,-81.2858963012695,12,NA,US,US-GA,Darien,no,08GA,,08GA,,,,,,5000,150,TURF,1,0
567,6992,08MS,small_airport,Williams Field,34.66220093,-89.86830139,345,NA,US,US-MS,Coldwater,no,08MS,,08MS,,,,,,3725,50,ASPH-TURF,1,0
570,6995,08NC,small_airport,Whiteheart Farm Airport,36.0676002502441,-80.4655990600586,750,NA,US,US-NC,Lewisville,no,08NC,,08NC,,,,,,3200,50,TURF,0,0
572,6997,08NE,small_airport,Laurel Municipal Airport,42.4317016601563,-97.0794982910156,1467,NA,US,US-NE,Laurel,no,08NE,,08NE,,,,,,3000,100,TURF-G,1,0
577,7001,08OH,small_airport,Kenley Airport,41.2916984558105,-80.5636978149414,1230,NA,US,US-OH,Hartford,no,08OH,,08OH,,,,,,3000,50,TURF,0,0
588,7011,08U,small_airport,Stevens-Crosby Airport,41.515701,-115.860001,6397,NA,US,US-NV,Elko,no,K08U,,08U,,,,,,3600,50,DIRT-F,0,0
598,7020,09CO,small_airport,Cottonwood Field,38.055275,-103.650769,4180,NA,US,US-CO,Rocky Ford,no,09CO,,09CO,,,,,,3250,65,TURF,0,0
642,7065,0AK1,small_airport,Anderson Lake Airport,61.616966,-149.320893,463,NA,US,US-AK,Wasilla,no,0AK1,,0AK1,,,,,,3000,2000,WATER,0,0
678,7103,0C5,small_airport,Canadian Lakes Airport,43.575666,-85.284182,960,NA,US,US-MI,Canadian Lakes,no,K0C5,,0C5,,,,,,3800,100,TURF-G,1,0
679,7104,0C7,small_airport,Grandpas' Farm Mendota Airport,41.521999,-89.132599,727,NA,US,US-IL,Mendota,no,IL22,,IL22,,,0C7,,,3980,200,TURF-G,1,0
685,7111,0CA4,small_airport,Shepherd Farm Airport,34.6222,-120.065002,660,NA,US,US-CA,Santa Ynez,no,0CA4,,0CA4,,,Shepherd Ranch,,,3600,50,TREATED,0,0
694,7122,0CD5,small_airport,Piñon Canyon Airport,37.490501,-104.143997,5686,NA,US,US-CO,Model,no,0CD5,,0CD5,,,Piñon Canyon Maneuver Site,,,4500,70,GRVL,0,0
699,7127,0CL0,small_airport,Yosemite Hidden Lake Ranch Airport,37.1180000305,-119.913002014,500,NA,US,US-CA,Raymond,no,0CL0,,0CL0,,,,,,3720,75,DIRT,0,0
700,7128,0CL1,small_airport,Krey Field Airport,34.5694007874,-117.555999756,3042,NA,US,US-CA,Adelanto,no,0CL1,,0CL1,,,,,,3360,100,DIRT,0,0
707,7135,0CL8,small_airport,Tera Ultralightport,35.591104,-117.631323,2510,NA,US,US-CA,Ridgecrest,no,0CL8,,0CL8,,,,,,3500,80,TURF,0,0
711,7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980,NA,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2,,,Buckhorn Ranch,,,4000,40,ASPH,1,0
714,7143,0CO6,small_airport,Flying M & M Ranch Airport,38.2193984985,-108.212997437,8000,NA,US,US-CO,Norwood,no,0CO6,,0CO6,,,,,,4500,150,TURF,0,0
729,7159,0E+00,small_airport,Corydon Airport,40.754734,-93.242447,1020,NA,US,US-IA,Corydon,no,K0E9,,0E+00,,,,,,3270,80,TURF-F,0,0
735,7162,0FD0,small_airport,The 2A Ranch Airport,29.26757,-81.223331,40,NA,US,US-FL,Ormond Beach,no,0FD0,,0FD0,,,Big 'G' Airport,,,4000,75,TURF,0,0
751,7179,0FL9,small_airport,Mc Daniel Ranch Inc. Airport,26.393051,-81.02874,18,NA,US,US-FL,Clewiston,no,0FL9,,0FL9,,,,,,3400,116,TURF,0,0
